name,league,age,minutes,goals,assists
Leon Goretzka,de Bundesliga,29.0,1325,4,1
Mathieu Gorgelin,fr Ligue 1,33.0,1440,0,0
Andoni Gorosabel,es La Liga,27.0,1485,0,2
Robin Gosens,it Serie A,30.0,2434,5,5
Robin Gosens,de Bundesliga,30.0,90,0,0
Mario Götze,de Bundesliga,32.0,1542,3,2
Amine Gouiri,fr Ligue 1,24.0,1048,10,3
Amine Gouiri,fr Ligue 1,24.0,1037,3,2
Lucas Gourna-Douath,it Serie A,20.0,229,0,0
Jeffrey Gouweleeuw,de Bundesliga,33.0,2944,1,4
Kamil Grabara,de Bundesliga,25.0,2585,0,0
Jonathan Gradit,fr Ligue 1,31.0,2112,0,0
José Gragera,es La Liga,23.0,569,0,0
Samuel Grandsir,fr Ligue 1,27.0,84,0,0
Alberto Grassi,it Serie A,29.0,2203,1,0
Ryan Gravenberch,eng Premier League,22.0,3160,0,4
Archie Gray,eng Premier League,18.0,1751,0,0
Jack Grealish,eng Premier League,28.0,721,1,1
Jacob Greaves,eng Premier League,23.0,2205,1,0
Mason Greenwood,fr Ligue 1,22.0,2804,21,5
Michael Gregoritsch,de Bundesliga,30.0,639,2,1
Dominik Greif,es La Liga,27.0,2790,0,0
Antoine Griezmann,es La Liga,33.0,2469,8,7
Vincenzo Grifo,de Bundesliga,31.0,2432,8,11
Florian Grillitsch,es La Liga,28.0,623,0,0
Florian Grillitsch,de Bundesliga,28.0,601,0,0
Álex Grimaldo,de Bundesliga,28.0,2636,2,7
Pascal Groß,de Bundesliga,33.0,2327,0,9
Brajan Gruda,eng Premier League,20.0,687,1,4
Marco Grüll,de Bundesliga,26.0,1181,6,1
Albert Grønbaek,eng Premier League,23.0,143,0,0
Albert Grønbaek,fr Ligue 1,23.0,813,2,1
Vicente Guaita,es La Liga,37.0,3060,0,0
Sergi Guardiola,es La Liga,33.0,362,0,0
Nemanja Gudelj,es La Liga,32.0,2493,1,1
Gabriel Gudmundsson,fr Ligue 1,25.0,1785,2,0
Gonçalo Guedes,eng Premier League,27.0,995,2,4
Axel Gueguin,fr Ligue 1,19.0,23,0,0
Marc Guéhi,eng Premier League,24.0,3059,3,2
Mattéo Guendouzi,it Serie A,25.0,3270,1,3
Javier Guerra,es La Liga,21.0,2581,3,3
Raphaël Guerreiro,de Bundesliga,30.0,1572,4,4
Evann Guessand,fr Ligue 1,23.0,2565,12,8
Ander Guevara,es La Liga,27.0,1947,0,1
Pape Gueye,es La Liga,25.0,2224,4,0
Morgan Guilavogui,de Bundesliga,26.0,1807,6,2
Frederic Guilbert,it Serie A,29.0,2435,0,1
Luis Guilherme,eng Premier League,18.0,150,0,0
Hugo Guillamón,es La Liga,24.0,364,0,0
Bruno Guimarães,eng Premier League,26.0,3271,5,6
Carlos Guirao,es La Liga,21.0,110,0,0
Bahereba Guirassy,fr Ligue 1,17.0,348,2,0
Serhou Guirassy,de Bundesliga,28.0,2598,21,4
Marc Guiu,eng Premier League,18.0,73,0,0
Péter Gulácsi,de Bundesliga,34.0,2631,0,0
Arda Güler,es La Liga,19.0,1250,3,4
Gerard Gumbau,es La Liga,29.0,849,0,1
Robert Gumny,de Bundesliga,26.0,271,0,0
İlkay Gündoğan,eng Premier League,33.0,2223,1,6
Christian Günter,de Bundesliga,31.0,2314,2,2
Jon Guridi,es La Liga,29.0,2080,3,1
Gorka Guruzeta,es La Liga,27.0,1840,7,2
Malo Gusto,eng Premier League,21.0,1862,0,1
Miguel Gutiérrez,es La Liga,23.0,2458,1,5
Albert Guðmundsson,it Serie A,27.0,1273,6,1
Joško Gvardiol,eng Premier League,22.0,3277,5,0
Emmanuel Gyasi,it Serie A,30.0,3217,2,1
Christian Gytkjær,it Serie A,34.0,754,2,1
Erling Haaland,eng Premier League,24.0,2736,22,3
Nicolas Haas,it Serie A,28.0,287,0,0
Janik Haberer,de Bundesliga,30.0,1696,0,0
Robin Hack,de Bundesliga,25.0,2172,4,7
Saad El Haddad,it Serie A,19.0,30,0,0
Munir El Haddadi,es La Liga,28.0,862,4,0
Amadou Haidara,de Bundesliga,26.0,1320,0,1
Massadio Haïdara,fr Ligue 1,31.0,1678,0,0
Antoine Hainaut,it Serie A,22.0,1206,2,0
Mohamed Haj,it Serie A,19.0,453,1,2
Achraf Hakimi,fr Ligue 1,25.0,2066,4,6
Lewis Hall,eng Premier League,19.0,2189,0,4
Sébastien Haller,es La Liga,30.0,404,0,0
Ali Al Hamadi,eng Premier League,22.0,134,0,0
Andreas Hanche-Olsen,de Bundesliga,27.0,1284,1,1
Florent Hanin,fr Ligue 1,34.0,2672,1,2
Ridgeciano Haps,it Serie A,31.0,1369,1,1
Amine Harit,fr Ligue 1,27.0,519,2,4
Marcus Harness,eng Premier League,28.0,45,0,0
Phil Harres,de Bundesliga,22.0,1544,8,1
Jack Harrison,eng Premier League,27.0,2076,1,0
Abdou Harroui,it Serie A,26.0,463,1,2
Taylor Harwood-Bellis,eng Premier League,22.0,2825,1,0
Hans Hateboer,fr Ligue 1,30.0,1684,0,0
Kjetil Haug,fr Ligue 1,26.0,498,0,0
Kai Havertz,eng Premier League,25.0,1875,9,3
Ayden Heaven,eng Premier League,17.0,170,0,0
Jan Paul van Hecke,eng Premier League,24.0,2958,1,1
Hwang Hee-chan,eng Premier League,28.0,661,2,0
Dean Henderson,eng Premier League,27.0,3420,0,0
Liam Henderson,it Serie A,28.0,2337,0,4
Ramon Hendriks,de Bundesliga,23.0,1154,0,1
Paul Hennrich,de Bundesliga,19.0,12,0,0
Benjamin Henrichs,de Bundesliga,27.0,935,0,2
Henrique,es La Liga,30.0,352,0,0
Luis Henrique,fr Ligue 1,22.0,2613,7,7
Rico Henry,eng Premier League,27.0,99,0,0
Mads Hermansen,eng Premier League,24.0,2385,0,0
Mario Hermoso,it Serie A,29.0,251,0,0
Mario Hermoso,de Bundesliga,29.0,293,0,0
Javi Hernández,es La Liga,26.0,2389,2,1
Aridane Hernández,es La Liga,35.0,1025,0,0
Lucas Hernández,fr Ligue 1,28.0,877,0,0
Theo Hernández,it Serie A,26.0,2696,4,3
Hernani,it Serie A,30.0,1327,3,3
Jorge Herrando,es La Liga,23.0,1366,1,0
Ander Herrera,es La Liga,34.0,273,0,0
Sergio Herrera,es La Liga,31.0,3330,0,0
Yangel Herrera,es La Liga,26.0,2257,4,3
Juan Herzog,es La Liga,21.0,1315,0,0
Son Heung-min,eng Premier League,32.0,2110,7,9
Isak Hien,it Serie A,25.0,2327,0,0
Omar El Hilali,es La Liga,20.0,3153,0,2
James Hill,eng Premier League,22.0,448,0,1
Piero Hincapié,de Bundesliga,22.0,2670,2,2
Roger Hinojo,es La Liga,19.0,9,0,0
Jack Hinshelwood,eng Premier League,19.0,1842,5,2
George Hirst,eng Premier League,25.0,661,3,1
Adam Hložek,de Bundesliga,22.0,1871,8,4
Ki-Jana Hoever,fr Ligue 1,22.0,2124,1,2
Nicolas Höfler,de Bundesliga,34.0,794,0,0
Jonas Hofmann,de Bundesliga,32.0,356,2,1
Philipp Hofmann,de Bundesliga,31.0,2277,3,3
Lucas Höler,de Bundesliga,30.0,1867,6,4
Mason Holgate,eng Premier League,27.0,6,0,0
Benedict Hollerbach,de Bundesliga,23.0,2540,9,1
Emil Holm,it Serie A,24.0,1137,1,1
Lewis Holtby,de Bundesliga,33.0,1238,0,1
Gerrit Holtmann,de Bundesliga,29.0,1136,2,1
Franck Honorat,de Bundesliga,27.0,1439,4,7
Mathias Honsak,de Bundesliga,27.0,1181,5,1
Dinko Horkaš,es La Liga,25.0,1085,0,0
Timo Horn,de Bundesliga,31.0,1170,0,0
Cédric Hountondji,fr Ligue 1,30.0,270,0,0
Ilyes Housni,fr Ligue 1,19.0,230,0,0
Harry Howell,eng Premier League,15.0,7,0,0
Lukáš Hrádecký,de Bundesliga,34.0,2610,0,0
Robin Hranáč,de Bundesliga,24.0,219,0,0
Callum Hudson-Odoi,eng Premier League,23.0,2194,5,2
Will Hughes,eng Premier League,29.0,2108,0,3
Dean Huijsen,eng Premier League,19.0,2427,3,2
Mats Hummels,it Serie A,35.0,915,0,0
Omari Hutchinson,eng Premier League,20.0,2583,3,2
Elseid Hysaj,it Serie A,30.0,424,0,3
Hong Hyunseok,de Bundesliga,25.0,530,0,1
Pierre Højbjerg,fr Ligue 1,28.0,2664,2,4
Oscar Højlund,de Bundesliga,19.0,722,1,0
Rasmus Højlund,eng Premier League,21.0,2004,4,0
Pablo Ibáñez,es La Liga,25.0,1294,1,1
Hafiz Ibrahim,fr Ligue 1,18.0,391,0,1
Arijon Ibrahimović,it Serie A,18.0,8,0,0
Arijon Ibrahimović,de Bundesliga,18.0,1,0,0
Stanis Idumbo,es La Liga,19.0,284,1,1
Jay Idzes,it Serie A,24.0,3127,1,0
Iglesias,es La Liga,26.0,2888,0,1
Borja Iglesias,es La Liga,31.0,1952,11,3
Igor,eng Premier League,26.0,961,0,0
Kelechi Iheanacho,es La Liga,27.0,400,0,0
Jonathan Ikone,it Serie A,26.0,540,2,0
Jonathan Ikone,it Serie A,26.0,334,0,0
George Ilenikhena,fr Ligue 1,17.0,717,3,2
Andrej Ilic,de Bundesliga,24.0,937,7,0
Ivan Ilić,it Serie A,23.0,920,1,0
Rareş Ilie,fr Ligue 1,21.0,13,0,0
Samuel Iling-Junior,it Serie A,20.0,118,1,0
Danny Ings,eng Premier League,32.0,284,1,2
Alessio Iovine,it Serie A,33.0,387,0,0
Tim Iroegbunam,eng Premier League,21.0,574,0,1
Jackson Irvine,de Bundesliga,31.0,2610,0,6
Andy Irving,eng Premier League,24.0,166,0,0
Alexander Isak,eng Premier League,24.0,2756,23,6
Gustav Isaksen,it Serie A,23.0,2210,4,2
Isco,es La Liga,32.0,1547,9,8
Ismaily,fr Ligue 1,34.0,904,0,1
Ardian Ismajli,it Serie A,27.0,2508,0,0
Yanis Issoufou,fr Ligue 1,17.0,77,0,0
Ko Itakura,de Bundesliga,27.0,2790,3,0
Hiroki Ito,de Bundesliga,25.0,250,1,0
Junya Ito,fr Ligue 1,31.0,2690,4,3
Diego Iturralde,es La Liga,21.0,37,0,0
Marko Ivezić,de Bundesliga,22.0,1657,0,0
Alex Iwobi,eng Premier League,28.0,2981,9,6
Armando Izzo,it Serie A,32.0,2435,1,1
Fellipe Jack,it Serie A,18.0,171,0,0
Nicolas Jackson,eng Premier League,23.0,2220,10,5
Jérémy Jacquet,fr Ligue 1,19.0,927,0,1
Lee Jae-sung,de Bundesliga,31.0,2650,7,6
Ivan Jaime Pajuelo,es La Liga,23.0,297,0,0
Kristijan Jakić,de Bundesliga,27.0,2306,0,1
Karl Jakob Hein,es La Liga,22.0,2790,0,0
Ismail Jakobs,fr Ligue 1,24.0,180,0,0
Jordan James,fr Ligue 1,20.0,1178,0,1
Reece James,eng Premier League,24.0,1063,1,1
Vitaly Janelt,eng Premier League,26.0,2254,1,3
Adnan Januzaj,es La Liga,29.0,598,2,1
Luca Jaquez,de Bundesliga,21.0,253,0,0
Vitezslav Jaros,eng Premier League,23.0,12,0,0
Ali Jasim,it Serie A,20.0,10,0,0
Mikel Jauregizar,es La Liga,20.0,2244,2,1
Dominik Javorček,de Bundesliga,21.0,386,0,2
Gaby Jean,it Serie A,24.0,1388,0,0
Daniel Jebbison,eng Premier League,20.0,119,1,0
Finn Jeltsch,de Bundesliga,18.0,780,0,0
Malcolm Jeng,fr Ligue 1,19.0,107,0,0
Fredrik Jensen,de Bundesliga,26.0,763,0,0
Mathias Jensen,eng Premier League,28.0,862,0,2
Moritz Jenz,de Bundesliga,25.0,1600,0,0
Gabriel Jesus,eng Premier League,27.0,608,3,0
Juan Jesus,it Serie A,33.0,1074,0,1
Alejandro Jiménez,it Serie A,19.0,1266,0,1
Raúl Jiménez,eng Premier League,33.0,2494,12,3
Kim Jisoo,eng Premier League,19.0,30,0,0
João Pedro,eng Premier League,22.0,1948,10,6
John Joe,es La Liga,20.0,48,0,0
John Joe,fr Ligue 1,20.0,545,0,0
Joelinton,eng Premier League,27.0,2393,4,3
Jofre,es La Liga,23.0,2165,3,3
Þórir Jóhann Helgason,it Serie A,23.0,1156,0,4
Carl Johansson,de Bundesliga,30.0,568,0,0
Ben Johnson,eng Premier League,24.0,1354,1,2
Brennan Johnson,eng Premier League,23.0,2177,11,3
Karl-Johan Johnsson,fr Ligue 1,34.0,270,0,0
Sam Johnstone,eng Premier League,31.0,630,0,0
Paul Joly,fr Ligue 1,24.0,1009,0,1
Curtis Jones,eng Premier League,23.0,1712,3,3
Frenkie de Jong,es La Liga,27.0,1143,2,2
Joan Jordán,es La Liga,30.0,1414,5,2
Jorginho,eng Premier League,32.0,704,0,0
Jesse Joronen,it Serie A,31.0,703,0,0
Jota,fr Ligue 1,25.0,334,1,0
Diogo Jota,eng Premier League,27.0,1196,6,3
Antoine Joujou,fr Ligue 1,21.0,943,0,2
Luka Jović,it Serie A,26.0,557,2,0
Juanmi,es La Liga,31.0,696,0,0
Juanmi,es La Liga,31.0,244,0,0
Juanpe,es La Liga,33.0,727,0,0
Jubal,fr Ligue 1,30.0,2640,6,0
Anthony Jung,de Bundesliga,32.0,1898,0,0
Luiz Lúcio Reis Júnior,es La Liga,23.0,1458,0,0
Hamed Junior Traorè,fr Ligue 1,24.0,2093,10,2
Vinicius Júnior,es La Liga,24.0,2253,11,8
Josip Juranović,de Bundesliga,28.0,1159,0,1
David Jurásek,de Bundesliga,23.0,619,0,1
Stanko Jurić,es La Liga,27.0,1729,0,0
James Justin,eng Premier League,26.0,2912,2,2
Filip Jørgensen,eng Premier League,22.0,540,0,0
Mohamed Kaba,it Serie A,22.0,452,0,0
Yusuf Kabadayı,de Bundesliga,20.0,71,1,0
Almugera Kabar,de Bundesliga,18.0,137,0,0
Christian Kabasele,it Serie A,33.0,1161,2,0
Issa Kaboré,de Bundesliga,23.0,308,0,0
Yaya Kader Fofana,fr Ligue 1,20.0,634,1,1
Pavel Kadeřábek,de Bundesliga,32.0,1576,2,0
Tino Kadewere,fr Ligue 1,28.0,512,1,2
Ferdi Kadioglu,eng Premier League,24.0,385,1,0
Arnaud Kalimuendo,fr Ligue 1,22.0,2578,17,3
Pierre Kalulu,it Serie A,24.0,2337,1,0
Justin-Noël Kalumba,fr Ligue 1,19.0,31,0,0
Daichi Kamada,eng Premier League,27.0,1564,0,0
Waren Kamanzi,fr Ligue 1,23.0,1022,1,1
Boubacar Kamara,eng Premier League,24.0,1726,1,0
Glen Kamara,fr Ligue 1,28.0,662,0,1
Hassane Kamara,it Serie A,30.0,2001,1,4
Noham Kamara,fr Ligue 1,17.0,76,0,0
Willy Kambwala,es La Liga,19.0,1117,0,0
Jakub Kamiński,de Bundesliga,22.0,1130,0,2
Kevin Kampl,de Bundesliga,33.0,1593,1,0
Nordine Kandil,fr Ligue 1,22.0,10,0,0
Harry Kane,de Bundesliga,31.0,2381,26,9
Lee Kang-in,fr Ligue 1,23.0,1663,6,6
Yann Karamoh,it Serie A,26.0,1046,0,1
Atakan Karazor,de Bundesliga,27.0,2618,2,4
Jesper Karlsson,it Serie A,26.0,298,1,0
Jesper Karlsson,it Serie A,26.0,495,1,0
Jesper Karlström,it Serie A,29.0,3186,0,3
Lior Kasa,it Serie A,18.0,230,0,0
Grigoris Kastanos,it Serie A,26.0,872,1,1
Mikkel Kaufmann,de Bundesliga,23.0,372,0,0
Joachim Kayi Sanda,eng Premier League,17.0,14,0,0
Michael Kayode,eng Premier League,20.0,528,0,1
Michael Kayode,it Serie A,20.0,127,0,0
Moise Kean,it Serie A,24.0,2615,17,3
Michael Keane,eng Premier League,31.0,1049,3,0
Yassine Kechta,fr Ligue 1,22.0,2096,2,0
Thilo Kehrer,fr Ligue 1,27.0,2383,4,0
Abdoulaye Keita,es La Liga,21.0,95,0,0
Mandela Keita,it Serie A,22.0,1826,0,2
Yannik Keitel,de Bundesliga,24.0,270,0,0
Andu Kelati,de Bundesliga,21.0,288,1,1
Caoimhín Kelleher,eng Premier League,25.0,900,0,0
Thomas Keller,de Bundesliga,24.0,148,0,0
Lloyd Kelly,eng Premier League,25.0,303,0,1
Lloyd Kelly,it Serie A,25.0,1013,0,0
Aljoscha Kemlein,de Bundesliga,19.0,922,1,0
Marc-Oliver Kempf,it Serie A,29.0,2615,0,0
Kenedy,es La Liga,28.0,9,0,0
Luca Kerber,de Bundesliga,22.0,783,2,0
Milos Kerkez,eng Premier League,20.0,3336,2,5
Reda Khadra,fr Ligue 1,23.0,78,0,0
Bilal El Khannouss,eng Premier League,20.0,2182,2,3
Wahbi Khazri,fr Ligue 1,33.0,1118,1,1
Rani Khedira,de Bundesliga,30.0,2723,1,1
Abdukodir Khusanov,eng Premier League,20.0,503,0,0
Abdukodir Khusanov,fr Ligue 1,20.0,975,0,0
Kialonda,it Serie A,26.0,2144,0,1
Kiké,es La Liga,34.0,2542,13,0
Max Kilman,eng Premier League,27.0,3348,0,1
Joshua Kimmich,de Bundesliga,29.0,2847,3,7
Presnel Kimpembe,fr Ligue 1,28.0,23,0,0
Joshua King,eng Premier League,17.0,130,0,0
Joshua King,fr Ligue 1,32.0,1673,6,3
Tom King,eng Premier League,29.0,1,0,0
Antonín Kinský,eng Premier League,21.0,540,0,0
Cédric Kipré,fr Ligue 1,27.0,2190,0,1
Jakub Kiwior,eng Premier League,24.0,1122,1,0
Tim Kleindienst,de Bundesliga,28.0,2737,16,7
Lukas Klostermann,de Bundesliga,28.0,1838,1,0
Justin Kluivert,eng Premier League,25.0,2340,12,6
Ansgar Knauff,de Bundesliga,22.0,1597,4,5
Magnus Knudsen,de Bundesliga,23.0,1850,0,1
Gregor Kobel,de Bundesliga,26.0,2880,0,0
Robin Koch,de Bundesliga,28.0,2586,3,0
Hervé Koffi,fr Ligue 1,27.0,450,0,0
Magnus Kofod Andersen,it Serie A,25.0,695,1,1
Derrick Köhn,de Bundesliga,25.0,1343,2,2
Philipp Köhn,fr Ligue 1,26.0,1710,0,0
Dominik Kohr,de Bundesliga,30.0,2295,2,0
Koka,fr Ligue 1,31.0,851,3,1
Koke,es La Liga,32.0,1926,1,1
Sead Kolašinac,it Serie A,31.0,1903,0,2
Randal Kolo Muani,it Serie A,25.0,1160,8,1
Randal Kolo Muani,fr Ligue 1,25.0,358,2,1
Marco Komenda,de Bundesliga,27.0,1307,0,0
Mert Kömür,de Bundesliga,19.0,654,2,1
Ibrahima Konaté,eng Premier League,25.0,2560,1,2
Ismael Konate,it Serie A,18.0,116,0,1
Geoffrey Kondogbia,fr Ligue 1,31.0,2020,0,0
Abdoul Koné,fr Ligue 1,19.0,133,0,0
Amadou Koné,fr Ligue 1,19.0,1293,0,0
Ismaël Koné,fr Ligue 1,22.0,360,0,0
Ismaël Koné,fr Ligue 1,22.0,469,2,1
Manu Koné,it Serie A,23.0,2572,2,1
Ezri Konsa,eng Premier League,26.0,2936,2,0
Teun Koopmeiners,it Serie A,26.0,1994,3,3
Kacper Koscierski,de Bundesliga,17.0,7,0,0
Odilon Kossounou,it Serie A,23.0,1125,0,0
Christian Kouamé,it Serie A,26.0,622,0,1
Christian Kouamé,it Serie A,26.0,507,1,0
Henri Koudossou,de Bundesliga,24.0,748,0,0
Konstantinos Koulierakis,de Bundesliga,20.0,2468,0,2
Emmanuel Koum Mbondo,fr Ligue 1,18.0,12,0,0
Jules Koundé,es La Liga,25.0,2605,2,3
Boubakar Kouyaté,fr Ligue 1,27.0,756,0,0
Mateo Kovačić,eng Premier League,30.0,2198,6,2
Viktor Kovalenko,it Serie A,28.0,77,0,0
Matej Kovar,de Bundesliga,24.0,450,0,0
Mateusz Kowalski,it Serie A,19.0,56,0,0
Goduine Koyalipou,fr Ligue 1,24.0,885,4,0
Caleb Kporha,eng Premier League,18.0,13,0,0
Emil Krafth,eng Premier League,29.0,342,0,0
Alex Král,es La Liga,26.0,2714,0,1
Andrej Kramarić,de Bundesliga,33.0,2767,11,8
Frans Krätzig,de Bundesliga,21.0,1217,1,2
Frans Krätzig,de Bundesliga,21.0,56,0,0
Tom Krauß,de Bundesliga,23.0,1077,0,0
Ladislav Krejčí,es La Liga,25.0,2440,2,0
Rasmus Kristensen,de Bundesliga,27.0,2513,5,3
Thomas Kristensen,it Serie A,22.0,1754,1,0
Nikola Krstović,it Serie A,24.0,3057,11,5
Lukas Kübler,de Bundesliga,31.0,1842,5,1
Takefusa Kubo,es La Liga,23.0,2372,5,0
Mohammed Kudus,eng Premier League,23.0,2590,5,3
Dejan Kulusevski,eng Premier League,24.0,2389,7,4
Sael Kumbedi,fr Ligue 1,19.0,951,0,0
Marash Kumbulla,es La Liga,24.0,2972,3,0
Jonah Kusi-Asare,de Bundesliga,17.0,3,0,0
Daler Kuzyaev,fr Ligue 1,31.0,567,1,0
Khvicha Kvaratskhelia,it Serie A,23.0,1178,5,3
Khvicha Kvaratskhelia,fr Ligue 1,23.0,916,4,3
Moritz-Broni Kwarteng,de Bundesliga,26.0,172,0,0
Giorgos Kyriakopoulos,it Serie A,28.0,2845,2,4
Luca de la Torre,es La Liga,26.0,4,0,0
Rémy Labeau Lascary,fr Ligue 1,21.0,637,2,1
Gaëtan Laborde,fr Ligue 1,30.0,1829,11,4
Nediljko Labrović,de Bundesliga,24.0,1350,0,0
Alexandre Lacazette,fr Ligue 1,33.0,2051,15,2
Younes Lachaab,fr Ligue 1,19.0,9,0,0
Maxence Lacroix,eng Premier League,24.0,3116,1,1
Alban Lafont,fr Ligue 1,25.0,1080,0,0
Yoel Lago,es La Liga,20.0,583,0,1
Konrad Laimer,de Bundesliga,27.0,1699,2,2
Stefan Lainer,de Bundesliga,31.0,757,1,0
Kenny Lala,fr Ligue 1,32.0,2686,3,2
Adam Lallana,eng Premier League,36.0,361,0,2
Mathis Lambourde,it Serie A,18.0,89,1,0
Mohamed Lamine Bayo,fr Ligue 1,26.0,309,2,1
Tariq Lamptey,eng Premier League,23.0,860,2,2
Will Lankshear,eng Premier League,19.0,11,0,0
Gianluca Lapadula,it Serie A,34.0,310,0,0
Cyle Larin,es La Liga,29.0,1764,7,2
Gautier Larsonneur,fr Ligue 1,27.0,3060,0,0
Hugo Larsson,de Bundesliga,20.0,2393,3,1
Juanmi Latasa,es La Liga,23.0,1398,3,0
Toni Lato,es La Liga,26.0,621,0,0
Roméo Lavia,eng Premier League,20.0,797,0,1
Valentino Lazaro,it Serie A,28.0,2307,0,6
Darko Lazović,it Serie A,33.0,1459,2,3
Manuel Lazzari,it Serie A,30.0,1406,0,1
Julien Le Cardinal,fr Ligue 1,26.0,1378,0,1
Jérémy Le Douaron,fr Ligue 1,26.0,102,0,0
Enzo Le Fée,it Serie A,24.0,318,0,0
Robin Le Normand,es La Liga,27.0,2151,1,0
Nicola Leali,it Serie A,31.0,2610,0,0
Rafael Leão,it Serie A,25.0,2323,8,8
Benjamin Lecomte,fr Ligue 1,33.0,2700,0,0
Pierre Lees-Melou,fr Ligue 1,31.0,1526,2,2
Jordan Lefort,fr Ligue 1,30.0,3060,0,1
Diogo Leite,de Bundesliga,25.0,2546,1,2
Maxim Leitsch,de Bundesliga,26.0,674,1,0
Florian Lejeune,es La Liga,33.0,3325,2,3
Stefan Lekovic,it Serie A,20.0,367,0,0
Iñigo Lekue,es La Liga,31.0,773,0,0
Nunzio Lella,it Serie A,24.0,5,0,0
Thomas Lemar,es La Liga,28.0,85,0,0
Félix Lemaréchal,fr Ligue 1,20.0,1779,4,3
Mario Lemina,eng Premier League,30.0,1364,1,3
Clément Lenglet,es La Liga,29.0,1972,2,1
Bernd Leno,eng Premier League,32.0,3420,0,1
Donovan Léon,fr Ligue 1,31.0,2880,0,2
Giovanni Leoni,it Serie A,17.0,1199,1,0
Esteban Lepaul,fr Ligue 1,24.0,1629,9,0
Johann Lepenant,fr Ligue 1,21.0,2048,2,1
Jefferson Lerma,eng Premier League,29.0,2274,0,1
Louis Leroux,fr Ligue 1,18.0,816,2,1
Robert Lewandowski,es La Liga,35.0,2667,27,2
Jamie Leweling,de Bundesliga,23.0,1663,2,2
Rico Lewis,eng Premier League,19.0,1893,1,2
Keane Lewis-Potter,eng Premier League,23.0,3093,1,3
Myles Lewis-Skelly,eng Premier League,17.0,1369,1,0
Ben Lhassine Kone,it Serie A,24.0,51,0,0
Mattia Liberali,it Serie A,17.0,61,0,0
Philipp Lienhart,de Bundesliga,28.0,2770,1,0
Matthijs de Ligt,eng Premier League,24.0,2123,2,0
Pedro Lima,eng Premier League,18.0,70,0,0
Victor Lindelöf,eng Premier League,30.0,704,0,0
Jesper Lindstrøm,eng Premier League,24.0,1239,0,1
Karol Linetty,it Serie A,29.0,1540,1,0
Samuel Lino,es La Liga,24.0,1552,3,4
Pol Lirola,fr Ligue 1,26.0,680,1,2
Dailon Livramento,it Serie A,23.0,940,1,1
Valentino Livramento,eng Premier League,21.0,2840,0,1
Marin Ljubicic,de Bundesliga,22.0,281,1,1
Javier Llabrés,es La Liga,21.0,57,0,0
Diego Llorente,es La Liga,30.0,2519,2,0
Marcos Llorente,es La Liga,29.0,2513,2,4
Gautier Lloris,fr Ligue 1,29.0,2768,2,1
Giovani Lo Celso,es La Liga,28.0,1457,8,3
Stanislav Lobotka,it Serie A,29.0,2636,0,1
Manuel Locatelli,it Serie A,26.0,2822,2,2
Bradley Locko,fr Ligue 1,22.0,97,0,0
Ruben Loftus-Cheek,it Serie A,28.0,1037,0,0
Elysée Logbo,fr Ligue 1,20.0,27,0,0
Enzo Loiodice,es La Liga,23.0,684,0,0
Sean Longstaff,eng Premier League,26.0,798,0,0
Ademola Lookman,it Serie A,26.0,2247,15,5
Anthony Lopes,fr Ligue 1,33.0,1563,0,0
David López,es La Liga,21.0,169,0,0
David López,es La Liga,34.0,2429,1,1
Diego López,es La Liga,22.0,2737,8,5
Fer López,es La Liga,,671,2,0
Fermin López,es La Liga,21.0,1252,6,5
Javi López,es La Liga,22.0,1936,0,0
Pau López,es La Liga,29.0,45,0,0
Roberto López,es La Liga,24.0,396,0,1
Unai López,es La Liga,28.0,1707,3,1
Iker Losada,es La Liga,22.0,358,1,0
Iker Losada,es La Liga,22.0,336,0,0
Anthony Losilla,de Bundesliga,38.0,1137,0,0
Jordan Lotomba,fr Ligue 1,25.0,35,0,0
Tom Louchet,fr Ligue 1,21.0,775,1,0
Sandi Lovrić,it Serie A,26.0,2308,2,3
Pol Lozano,es La Liga,24.0,1943,0,1
Lorenzo Lucca,it Serie A,23.0,2353,12,1
Jhon Lucumí,it Serie A,26.0,2614,0,1
Yannik Lührs,de Bundesliga,20.0,127,0,0
José Luis Gayà,es La Liga,29.0,1803,0,1
José Luis Palomino,it Serie A,34.0,1081,1,0
Douglas Luiz,it Serie A,26.0,529,0,0
Romelu Lukaku,it Serie A,31.0,2843,14,10
Castello Lukeba,de Bundesliga,21.0,1577,0,0
Dodi Lukebakio,es La Liga,26.0,3092,11,2
Saša Lukić,eng Premier League,27.0,2344,0,2
Milos Lukovic,fr Ligue 1,18.0,12,0,0
Joe Lumley,eng Premier League,29.0,270,0,0
Daniel Luna,es La Liga,21.0,20,0,0
Andriy Lunin,es La Liga,25.0,630,0,1
Massimo Luongo,eng Premier League,31.0,201,0,0
Sebastiano Luperto,it Serie A,27.0,3240,1,3
Zito Luvumbo,it Serie A,22.0,1606,2,2
Charalambos Lykogiannis,it Serie A,30.0,1048,0,4
Senne Lynen,de Bundesliga,25.0,2733,0,1
Mathias Løvik,it Serie A,20.0,92,0,0
Othmane Maamma,fr Ligue 1,18.0,361,1,1
Ian Maatsen,eng Premier League,22.0,1139,1,2
Alexis Mac Allister,eng Premier League,25.0,2599,5,5
Deiver Machado,fr Ligue 1,30.0,1805,1,4
Lanroy Machine,fr Ligue 1,18.0,8,0,0
Shuto Machino,de Bundesliga,24.0,1953,11,2
Darwin Machís,es La Liga,31.0,639,0,1
