name,league,age,minutes,goals,assists
Victor Boniface,de Bundesliga,23.0,1008,8,1
Kevin Bonifazi,it Serie A,28.0,65,0,0
Ange-Yoan Bonny,it Serie A,20.0,2529,6,4
Sebastiaan Bornauw,de Bundesliga,25.0,788,2,1
Sven Botman,eng Premier League,24.0,412,0,0
Saïmon Bouabré,fr Ligue 1,18.0,97,0,0
Ayyoub Bouaddi,fr Ligue 1,16.0,1151,0,1
Badredine Bouanani,fr Ligue 1,19.0,1099,3,3
Benjamin Bouchouari,fr Ligue 1,22.0,1772,1,0
Hicham Boudaoui,fr Ligue 1,24.0,2435,2,3
Carlo Boukhalfa,de Bundesliga,25.0,1646,2,0
Justin Bourgault,fr Ligue 1,18.0,122,1,0
Benjamin Bourigeaud,fr Ligue 1,30.0,80,1,0
Edoardo Bove,it Serie A,22.0,836,1,2
Jarrod Bowen,eng Premier League,27.0,2973,13,8
Enzo Boyomo,es La Liga,22.0,2987,2,0
Enzo Boyomo,es La Liga,22.0,270,0,0
Domagoj Bradarić,it Serie A,24.0,1933,1,0
Conor Bradley,eng Premier League,21.0,754,0,2
Bilal Brahimi,fr Ligue 1,24.0,76,0,0
Julian Brandt,de Bundesliga,28.0,2303,5,10
Jarrad Branthwaite,eng Premier League,22.0,2511,0,1
Darko Brašanac,es La Liga,32.0,1617,1,2
Lilian Brassier,fr Ligue 1,24.0,779,0,0
Lilian Brassier,fr Ligue 1,24.0,1234,1,1
Matthias Braunöder,it Serie A,22.0,268,0,0
Iker Bravo,it Serie A,19.0,682,2,1
James Bree,eng Premier League,26.0,1075,0,1
Tim Breithaupt,de Bundesliga,22.0,120,0,1
Gleison Bremer,it Serie A,27.0,540,0,0
Brenner,it Serie A,24.0,386,1,2
Ben Brereton,eng Premier League,25.0,449,0,0
Marco Brescianini,it Serie A,24.0,991,4,2
Maximilian Breunig,de Bundesliga,23.0,350,2,0
Anthony Briançon,fr Ligue 1,29.0,1,0,0
Nathan Broadhead,eng Premier League,26.0,702,2,0
Armando Broja,eng Premier League,22.0,334,0,0
David Brooks,eng Premier League,27.0,960,2,0
Arvid Brorsson,it Serie A,25.0,362,0,0
Moritz Broschinski,de Bundesliga,23.0,1390,1,3
Nathaniel Brown,de Bundesliga,21.0,1947,3,6
Jacob Bruun Larsen,de Bundesliga,25.0,400,2,2
Jacob Bruun Larsen,de Bundesliga,25.0,414,1,0
Tajon Buchanan,it Serie A,25.0,95,0,0
Tajon Buchanan,es La Liga,25.0,416,1,2
Ante Budimir,es La Liga,33.0,2952,21,4
Emi Buendía,eng Premier League,27.0,98,0,0
Emi Buendía,de Bundesliga,27.0,257,2,0
Manu Bueno,es La Liga,20.0,140,1,0
Santiago Bueno,eng Premier League,25.0,1687,0,0
Endika Buján,es La Liga,21.0,7,0,0
Marius Bülter,de Bundesliga,31.0,1729,7,2
Facundo Buonanotte,eng Premier League,19.0,1523,5,2
Alessandro Buongiorno,it Serie A,25.0,1924,1,0
Cameron Burgess,eng Premier League,28.0,1541,0,2
Jonathan Burkardt,de Bundesliga,24.0,2109,18,2
Oliver Burke,de Bundesliga,27.0,908,5,0
Dan Burn,eng Premier League,32.0,3330,1,1
Rareș-Cătălin Burnete,it Serie A,20.0,28,0,0
Wes Burns,eng Premier League,29.0,926,0,1
Marnon Busch,de Bundesliga,29.0,1396,0,1
Gianluca Busio,it Serie A,22.0,2518,2,0
Aurélio Buta,fr Ligue 1,27.0,1970,0,1
Jean Butez,it Serie A,29.0,1666,0,0
Nathan Butler-Oyedeji,eng Premier League,21.0,7,0,0
Marcin Bułka,fr Ligue 1,24.0,3060,0,0
Pau Cabanes,es La Liga,19.0,163,1,0
Pau Cabanes,es La Liga,19.0,188,0,0
Rémy Cabella,fr Ligue 1,34.0,1011,1,2
Leandro Cabrera,es La Liga,33.0,2869,4,2
Liberato Cacace,it Serie A,23.0,2230,2,4
Alessio Cacciamani,it Serie A,17.0,31,0,0
Anthony Caci,de Bundesliga,27.0,2684,1,7
Mathieu Cafaro,fr Ligue 1,27.0,732,1,0
Moisés Caicedo,eng Premier League,22.0,3351,1,2
Tom Cairney,eng Premier League,33.0,628,2,0
Jens Cajuste,eng Premier League,24.0,1959,1,1
Davide Calabria,it Serie A,27.0,632,0,1
Davide Calabria,it Serie A,27.0,316,0,0
Riccardo Calafiori,eng Premier League,22.0,983,2,1
Luca Caldirola,it Serie A,33.0,876,0,0
Fernando Calero,es La Liga,28.0,715,1,0
Duje Ćaleta-Car,fr Ligue 1,27.0,1584,1,0
Hakan Çalhanoğlu,it Serie A,30.0,1879,5,6
Dominic Calvert-Lewin,eng Premier League,27.0,1609,3,1
Drissa Camara,it Serie A,22.0,447,0,0
Issiaga Camara,fr Ligue 1,19.0,20,0,0
Lamine Camara,fr Ligue 1,20.0,2054,2,7
Mahdi Camara,fr Ligue 1,26.0,2659,5,3
Ousmane Camara,fr Ligue 1,21.0,252,0,0
Francesco Camarda,it Serie A,16.0,206,0,0
Eduardo Camavinga,es La Liga,21.0,1102,1,2
Nicolò Cambiaghi,it Serie A,23.0,620,1,3
Andrea Cambiaso,it Serie A,24.0,2221,2,3
Axel Camblan,fr Ligue 1,20.0,26,0,0
Sergio Camello,es La Liga,23.0,1134,3,2
José Campaña,es La Liga,31.0,1189,0,3
Thomas Campaniello,it Serie A,16.0,25,0,0
Cole Campbell,de Bundesliga,18.0,22,0,0
Emre Can,de Bundesliga,30.0,2105,3,0
Peio Canales,es La Liga,19.0,259,0,0
Matteo Cancellieri,it Serie A,22.0,1424,3,0
Fali Candé,it Serie A,26.0,1530,1,1
Antonio Candela,it Serie A,24.0,1008,0,1
Antonio Candela,es La Liga,24.0,906,0,0
Sergi Canós,es La Liga,27.0,370,0,1
Jaydee Canvot,fr Ligue 1,18.0,1106,0,0
Pierrick Capelle,fr Ligue 1,37.0,483,0,0
Gianluca Caprari,it Serie A,31.0,1651,3,2
Elia Caprile,it Serie A,22.0,1620,0,0
Elia Caprile,it Serie A,22.0,325,0,0
Gabin Capuano,fr Ligue 1,18.0,11,0,0
Francesco Caputo,it Serie A,36.0,6,0,0
Maxence Caqueret,it Serie A,24.0,1087,2,3
Maxence Caqueret,fr Ligue 1,24.0,573,0,0
Simon Cara,fr Ligue 1,19.0,9,0,0
Andrea Carboni,it Serie A,23.0,2191,0,1
Franco Carboni,it Serie A,21.0,226,0,0
Valentin Carboni,fr Ligue 1,19.0,103,0,0
Dani Cárdenas,es La Liga,27.0,540,0,0
Irvin Cardona,es La Liga,26.0,606,1,1
Irvin Cardona,fr Ligue 1,26.0,1063,5,3
Marc Cardona,es La Liga,29.0,132,0,0
Sergi Cardona,es La Liga,25.0,2945,1,7
Johnny Cardoso,es La Liga,22.0,2144,3,1
Tiago Cardoso,de Bundesliga,18.0,380,0,0
Patrik Carlgren,fr Ligue 1,32.0,417,0,0
Diego Carlos,eng Premier League,31.0,830,0,0
José Carlos González,es La Liga,18.0,11,0,0
Carmona,es La Liga,22.0,2942,0,0
Marco Carnesecchi,it Serie A,24.0,3060,0,0
Sergio Carreira,es La Liga,23.0,1656,0,4
Dani Carvajal,es La Liga,32.0,609,1,0
Fabio Carvalho,eng Premier League,21.0,455,2,1
William Carvalho,es La Liga,32.0,484,0,0
Cesare Casadei,it Serie A,21.0,1017,1,1
Marc Casado,es La Liga,20.0,1611,1,3
Nicolò Casale,it Serie A,26.0,900,0,1
Nicolò Casale,it Serie A,26.0,135,0,0
Casemiro,eng Premier League,32.0,1494,1,0
Kaelan Casey,eng Premier League,19.0,1,0,0
Matty Cash,eng Premier League,26.0,2070,1,1
Eiran Cashin,eng Premier League,22.0,20,0,0
Josué Casimir,fr Ligue 1,22.0,1997,4,4
Federico Cassa,it Serie A,18.0,14,0,0
Cristian Cásseres Jr.,fr Ligue 1,24.0,2696,1,3
Timothy Castagne,eng Premier League,28.0,1649,0,1
Valentín Castellanos,it Serie A,25.0,2384,10,3
Jean-Charles Castelletto,fr Ligue 1,29.0,2620,0,0
Santiago Castro,it Serie A,19.0,2294,8,4
Gaetano Castrovilli,it Serie A,27.0,596,0,0
Gaetano Castrovilli,it Serie A,27.0,148,0,0
Danilo Cataldi,it Serie A,29.0,1712,3,0
Catena,es La Liga,29.0,3074,1,3
Maximiliano Caufriez,es La Liga,27.0,90,0,0
Enzo Caumont,fr Ligue 1,20.0,34,0,0
Dani Ceballos,es La Liga,27.0,1215,0,0
Abdoulie Ceesay,de Bundesliga,20.0,60,0,0
Zeki Çelik,it Serie A,27.0,2256,0,2
