Player,Comp,Age,Min,Gls,Ast,dribbles_successful,key_passes,duels_won,duels_total
José Arnaiz,es La Liga,29.0,133,0,0,0,0,0,1
Hákon Arnar Haraldsson,fr Ligue 1,21.0,1755,5,3,0,0,0,1
Marko Arnautović,it Serie A,35.0,527,4,2,0,0,0,1
Maximilian Arnold,de Bundesliga,30.0,2356,3,5,0,0,0,1
Jann-Fiete Arp,de Bundesliga,24.0,713,2,0,0,0,0,1
Sergio Arribas,es La Liga,21.0,90,0,0,0,0,0,1
Kepa Arrizabalaga,eng Premier League,29.0,2790,0,0,0,0,0,1
Arthur,de Bundesliga,21.0,752,0,1,0,0,0,1
Takuma Asano,es La Liga,29.0,1054,2,1,0,0,0,1
Raúl Asencio,es La Liga,21.0,1670,0,1,0,0,0,1
Marco Asensio,eng Premier League,28.0,743,3,1,0,0,0,1
Marco Asensio,fr Ligue 1,28.0,618,2,4,0,0,0,1
Kristjan Asllani,it Serie A,22.0,980,2,2,0,0,0,1
Iago Aspas,es La Liga,36.0,1745,10,5,0,0,0,1
Yaser Asprilla,es La Liga,20.0,1405,3,1,0,0,0,1
Lorenz Assignon,fr Ligue 1,24.0,2357,3,4,0,0,0,1
Dehmaine Assoumani,fr Ligue 1,19.0,98,0,0,0,0,0,1
Valentin Atangana Edoa,fr Ligue 1,18.0,2854,1,0,0,0,0,1
Arthur Atta,it Serie A,21.0,1251,0,1,0,0,0,1
Noah Atubolu,de Bundesliga,22.0,2307,0,0,0,0,0,1
Emil Audero,it Serie A,27.0,720,0,0,0,0,0,1
Tommaso Augello,it Serie A,29.0,2713,0,7,0,0,0,1
Carlos Augusto,it Serie A,25.0,1625,3,2,0,0,0,1
Yann Aurel Bisseck,it Serie A,23.0,1553,3,2,0,0,0,1
Brandon Austin,eng Premier League,25.0,90,0,0,0,0,0,1
Ezequiel Ávila,es La Liga,30.0,677,2,0,0,0,0,1
Taiwo Awoniyi,eng Premier League,26.0,416,1,0,0,0,0,1
Yasin Ayari,eng Premier League,20.0,1965,2,1,0,0,0,1
Florian Ayé,fr Ligue 1,27.0,575,2,0,0,0,0,1
André Ayew,fr Ligue 1,34.0,1453,4,1,0,0,0,1
Jordan Ayew,eng Premier League,32.0,21,0,0,0,0,0,1
